author_threshold,title_threshold,author_idf,title_idf,penalty_exponent,precision,recall,f1,extra_matches,correct_matches,idf_label,timestamp
0.75,0.95,True,True,3,0.36363636363636365,0.4,0.380952380952381,7,4,BothIDF^3,2026-04-27T12:13:58.192103
0.75,0.95,True,True,4,0.36363636363636365,0.4,0.380952380952381,7,4,BothIDF^4,2026-04-27T12:13:58.192103
0.8,0.75,False,False,3,0.4166666666666667,0.9,0.569620253164557,14,9,No IDF,2026-04-27T12:13:58.192103
0.8,0.75,True,False,3,0.4166666666666667,0.9,0.569620253164557,14,9,AuthorIDF^3,2026-04-27T12:13:58.192103
0.8,0.75,False,True,3,0.43478260869565216,0.9,0.5863192182410424,13,9,TitleIDF^3,2026-04-27T12:13:58.192103
0.8,0.75,True,True,3,0.43478260869565216,0.9,0.5863192182410424,13,9,BothIDF^3,2026-04-27T12:13:58.192103
0.8,0.75,True,True,4,0.43478260869565216,0.9,0.5863192182410424,13,9,BothIDF^4,2026-04-27T12:13:58.192103
0.8,0.8,False,False,3,0.5882352941176471,0.9,0.7114624505928854,7,9,No IDF,2026-04-27T12:13:58.192103
0.8,0.8,True,False,3,0.5882352941176471,0.9,0.7114624505928854,7,9,AuthorIDF^3,2026-04-27T12:13:58.192103
0.8,0.8,False,True,3,0.5882352941176471,0.9,0.7114624505928854,7,9,TitleIDF^3,2026-04-27T12:13:58.192103
0.8,0.8,True,True,3,0.5882352941176471,0.9,0.7114624505928854,7,9,BothIDF^3,2026-04-27T12:13:58.192103
0.8,0.8,True,True,4,0.5882352941176471,0.9,0.7114624505928854,7,9,BothIDF^4,2026-04-27T12:13:58.192103
0.8,0.85,False,False,3,0.8333333333333334,0.9,0.8653846153846153,2,9,No IDF,2026-04-27T12:13:58.192103
0.8,0.85,True,False,3,0.8333333333333334,0.9,0.8653846153846153,2,9,AuthorIDF^3,2026-04-27T12:13:58.192103
0.8,0.85,False,True,3,0.8333333333333334,0.9,0.8653846153846153,2,9,TitleIDF^3,2026-04-27T12:13:58.192103
0.8,0.85,True,True,3,0.8333333333333334,0.9,0.8653846153846153,2,9,BothIDF^3,2026-04-27T12:13:58.192103
0.8,0.85,True,True,4,0.8333333333333334,0.9,0.8653846153846153,2,9,BothIDF^4,2026-04-27T12:13:58.192103
0.8,0.9,False,False,3,0.8,0.8,0.8000000000000002,2,8,No IDF,2026-04-27T12:13:58.192103
0.8,0.9,True,False,3,0.8,0.8,0.8000000000000002,2,8,AuthorIDF^3,2026-04-27T12:13:58.192103
0.8,0.9,False,True,3,0.8,0.8,0.8000000000000002,2,8,TitleIDF^3,2026-04-27T12:13:58.192103
0.8,0.9,True,True,3,0.8,0.8,0.8000000000000002,2,8,BothIDF^3,2026-04-27T12:13:58.192103
0.8,0.9,True,True,4,0.8,0.8,0.8000000000000002,2,8,BothIDF^4,2026-04-27T12:13:58.192103
0.8,0.95,False,False,3,0.8,0.4,0.5333333333333333,1,4,No IDF,2026-04-27T12:13:58.192103
0.8,0.95,True,False,3,0.8,0.4,0.5333333333333333,1,4,AuthorIDF^3,2026-04-27T12:13:58.192103
0.8,0.95,False,True,3,0.8,0.4,0.5333333333333333,1,4,TitleIDF^3,2026-04-27T12:13:58.192103
0.8,0.95,True,True,3,0.8,0.4,0.5333333333333333,1,4,BothIDF^3,2026-04-27T12:13:58.192103
0.8,0.95,True,True,4,0.8,0.4,0.5333333333333333,1,4,BothIDF^4,2026-04-27T12:13:58.192103
0.85,0.75,False,False,3,0.45454545454545453,0.9,0.6040268456375839,12,9,No IDF,2026-04-27T12:13:58.192103
0.85,0.75,True,False,3,0.45454545454545453,0.9,0.6040268456375839,12,9,AuthorIDF^3,2026-04-27T12:13:58.192103
0.85,0.75,False,True,3,0.47619047619047616,0.9,0.6228373702422145,11,9,TitleIDF^3,2026-04-27T12:13:58.192103
0.85,0.75,True,True,3,0.47619047619047616,0.9,0.6228373702422145,11,9,BothIDF^3,2026-04-27T12:13:58.192103
0.85,0.75,True,True,4,0.47619047619047616,0.9,0.6228373702422145,11,9,BothIDF^4,2026-04-27T12:13:58.192103
0.85,0.8,False,False,3,0.5882352941176471,0.9,0.7114624505928854,7,9,No IDF,2026-04-27T12:13:58.192103
0.85,0.8,True,False,3,0.5882352941176471,0.9,0.7114624505928854,7,9,AuthorIDF^3,2026-04-27T12:13:58.192103
0.85,0.8,False,True,3,0.5882352941176471,0.9,0.7114624505928854,7,9,TitleIDF^3,2026-04-27T12:13:58.192103
0.85,0.8,True,True,3,0.5882352941176471,0.9,0.7114624505928854,7,9,BothIDF^3,2026-04-27T12:13:58.192103
0.85,0.8,True,True,4,0.5882352941176471,0.9,0.7114624505928854,7,9,BothIDF^4,2026-04-27T12:13:58.192103
0.85,0.85,False,False,3,0.8333333333333334,0.9,0.8653846153846153,2,9,No IDF,2026-04-27T12:13:58.192103
0.85,0.85,True,False,3,0.8333333333333334,0.9,0.8653846153846153,2,9,AuthorIDF^3,2026-04-27T12:13:58.192103
0.85,0.85,False,True,3,0.8333333333333334,0.9,0.8653846153846153,2,9,TitleIDF^3,2026-04-27T12:13:58.192103
0.85,0.85,True,True,3,0.8333333333333334,0.9,0.8653846153846153,2,9,BothIDF^3,2026-04-27T12:13:58.192103
0.85,0.85,True,True,4,0.8333333333333334,0.9,0.8653846153846153,2,9,BothIDF^4,2026-04-27T12:13:58.192103
0.85,0.9,False,False,3,0.8,0.8,0.8000000000000002,2,8,No IDF,2026-04-27T12:13:58.192103
0.85,0.9,True,False,3,0.8,0.8,0.8000000000000002,2,8,AuthorIDF^3,2026-04-27T12:13:58.192103
0.85,0.9,False,True,3,0.8,0.8,0.8000000000000002,2,8,TitleIDF^3,2026-04-27T12:13:58.192103
0.85,0.9,True,True,3,0.8,0.8,0.8000000000000002,2,8,BothIDF^3,2026-04-27T12:13:58.192103
0.85,0.9,True,True,4,0.8,0.8,0.8000000000000002,2,8,BothIDF^4,2026-04-27T12:13:58.192103
0.85,0.95,False,False,3,0.8,0.4,0.5333333333333333,1,4,No IDF,2026-04-27T12:13:58.192103
0.85,0.95,True,False,3,0.8,0.4,0.5333333333333333,1,4,AuthorIDF^3,2026-04-27T12:13:58.192103
0.85,0.95,False,True,3,0.8,0.4,0.5333333333333333,1,4,TitleIDF^3,2026-04-27T12:13:58.192103
0.85,0.95,True,True,3,0.8,0.4,0.5333333333333333,1,4,BothIDF^3,2026-04-27T12:13:58.192103
0.85,0.95,True,True,4,0.8,0.4,0.5333333333333333,1,4,BothIDF^4,2026-04-27T12:13:58.192103
0.9,0.75,False,False,3,0.45454545454545453,0.9,0.6040268456375839,12,9,No IDF,2026-04-27T12:13:58.192103
0.9,0.75,True,False,3,0.45454545454545453,0.9,0.6040268456375839,12,9,AuthorIDF^3,2026-04-27T12:13:58.192103
0.9,0.75,False,True,3,0.47619047619047616,0.9,0.6228373702422145,11,9,TitleIDF^3,2026-04-27T12:13:58.192103
0.9,0.75,True,True,3,0.47619047619047616,0.9,0.6228373702422145,11,9,BothIDF^3,2026-04-27T12:13:58.192103
0.9,0.75,True,True,4,0.47619047619047616,0.9,0.6228373702422145,11,9,BothIDF^4,2026-04-27T12:13:58.192103
0.9,0.8,False,False,3,0.5882352941176471,0.9,0.7114624505928854,7,9,No IDF,2026-04-27T12:13:58.192103
0.9,0.8,True,False,3,0.5882352941176471,0.9,0.7114624505928854,7,9,AuthorIDF^3,2026-04-27T12:13:58.192103
0.9,0.8,False,True,3,0.5882352941176471,0.9,0.7114624505928854,7,9,TitleIDF^3,2026-04-27T12:13:58.192103
0.9,0.8,True,True,3,0.5882352941176471,0.9,0.7114624505928854,7,9,BothIDF^3,2026-04-27T12:13:58.192103
0.9,0.8,True,True,4,0.5882352941176471,0.9,0.7114624505928854,7,9,BothIDF^4,2026-04-27T12:13:58.192103
0.9,0.85,False,False,3,0.8333333333333334,0.9,0.8653846153846153,2,9,No IDF,2026-04-27T12:13:58.192103
0.9,0.85,True,False,3,0.8333333333333334,0.9,0.8653846153846153,2,9,AuthorIDF^3,2026-04-27T12:13:58.192103
0.9,0.85,False,True,3,0.8333333333333334,0.9,0.8653846153846153,2,9,TitleIDF^3,2026-04-27T12:13:58.192103
0.9,0.85,True,True,3,0.8333333333333334,0.9,0.8653846153846153,2,9,BothIDF^3,2026-04-27T12:13:58.192103
0.9,0.85,True,True,4,0.8333333333333334,0.9,0.8653846153846153,2,9,BothIDF^4,2026-04-27T12:13:58.192103
0.9,0.9,False,False,3,0.8,0.8,0.8000000000000002,2,8,No IDF,2026-04-27T12:13:58.192103
0.9,0.9,True,False,3,0.8,0.8,0.8000000000000002,2,8,AuthorIDF^3,2026-04-27T12:13:58.192103
0.9,0.9,False,True,3,0.8,0.8,0.8000000000000002,2,8,TitleIDF^3,2026-04-27T12:13:58.192103
0.9,0.9,True,True,3,0.8,0.8,0.8000000000000002,2,8,BothIDF^3,2026-04-27T12:13:58.192103
0.9,0.9,True,True,4,0.8,0.8,0.8000000000000002,2,8,BothIDF^4,2026-04-27T12:13:58.192103
0.9,0.95,False,False,3,0.8,0.4,0.5333333333333333,1,4,No IDF,2026-04-27T12:13:58.192103
0.9,0.95,True,False,3,0.8,0.4,0.5333333333333333,1,4,AuthorIDF^3,2026-04-27T12:13:58.192103
0.9,0.95,False,True,3,0.8,0.4,0.5333333333333333,1,4,TitleIDF^3,2026-04-27T12:13:58.192103
0.9,0.95,True,True,3,0.8,0.4,0.5333333333333333,1,4,BothIDF^3,2026-04-27T12:13:58.192103
0.9,0.95,True,True,4,0.8,0.4,0.5333333333333333,1,4,BothIDF^4,2026-04-27T12:13:58.192103
0.95,0.75,False,False,3,0.45454545454545453,0.9,0.6040268456375839,12,9,No IDF,2026-04-27T12:13:58.192103
0.95,0.75,True,False,3,0.45454545454545453,0.9,0.6040268456375839,12,9,AuthorIDF^3,2026-04-27T12:13:58.192103
0.95,0.75,False,True,3,0.47619047619047616,0.9,0.6228373702422145,11,9,TitleIDF^3,2026-04-27T12:13:58.192103
0.95,0.75,True,True,3,0.47619047619047616,0.9,0.6228373702422145,11,9,BothIDF^3,2026-04-27T12:13:58.192103
0.95,0.75,True,True,4,0.47619047619047616,0.9,0.6228373702422145,11,9,BothIDF^4,2026-04-27T12:13:58.192103
0.95,0.8,False,False,3,0.5882352941176471,0.9,0.7114624505928854,7,9,No IDF,2026-04-27T12:13:58.192103
0.95,0.8,True,False,3,0.5882352941176471,0.9,0.7114624505928854,7,9,AuthorIDF^3,2026-04-27T12:13:58.192103
0.95,0.8,False,True,3,0.5882352941176471,0.9,0.7114624505928854,7,9,TitleIDF^3,2026-04-27T12:13:58.192103
0.95,0.8,True,True,3,0.5882352941176471,0.9,0.7114624505928854,7,9,BothIDF^3,2026-04-27T12:13:58.192103
0.95,0.8,True,True,4,0.5882352941176471,0.9,0.7114624505928854,7,9,BothIDF^4,2026-04-27T12:13:58.192103
0.95,0.85,False,False,3,0.8333333333333334,0.9,0.8653846153846153,2,9,No IDF,2026-04-27T12:13:58.192103
0.95,0.85,True,False,3,0.8333333333333334,0.9,0.8653846153846153,2,9,AuthorIDF^3,2026-04-27T12:13:58.192103
0.95,0.85,False,True,3,0.8333333333333334,0.9,0.8653846153846153,2,9,TitleIDF^3,2026-04-27T12:13:58.192103
0.95,0.85,True,True,3,0.8333333333333334,0.9,0.8653846153846153,2,9,BothIDF^3,2026-04-27T12:13:58.192103
0.95,0.85,True,True,4,0.8333333333333334,0.9,0.8653846153846153,2,9,BothIDF^4,2026-04-27T12:13:58.192103
0.95,0.9,False,False,3,0.8,0.8,0.8000000000000002,2,8,No IDF,2026-04-27T12:13:58.192103
0.95,0.9,True,False,3,0.8,0.8,0.8000000000000002,2,8,AuthorIDF^3,2026-04-27T12:13:58.192103
0.95,0.9,False,True,3,0.8,0.8,0.8000000000000002,2,8,TitleIDF^3,2026-04-27T12:13:58.192103
0.95,0.9,True,True,3,0.8,0.8,0.8000000000000002,2,8,BothIDF^3,2026-04-27T12:13:58.192103
0.95,0.9,True,True,4,0.8,0.8,0.8000000000000002,2,8,BothIDF^4,2026-04-27T12:13:58.192103
0.95,0.95,False,False,3,0.8,0.4,0.5333333333333333,1,4,No IDF,2026-04-27T12:13:58.192103
0.95,0.95,True,False,3,0.8,0.4,0.5333333333333333,1,4,AuthorIDF^3,2026-04-27T12:13:58.192103
0.95,0.95,False,True,3,0.8,0.4,0.5333333333333333,1,4,TitleIDF^3,2026-04-27T12:13:58.192103
0.95,0.95,True,True,3,0.8,0.4,0.5333333333333333,1,4,BothIDF^3,2026-04-27T12:13:58.192103
0.95,0.95,True,True,4,0.8,0.4,0.5333333333333333,1,4,BothIDF^4,2026-04-27T12:13:58.192103
