author_threshold,title_threshold,author_idf,title_idf,penalty_exponent,precision,recall,f1,extra_matches,correct_matches,idf_label,timestamp
0.75,0.75,False,False,3,0.24390243902439024,0.9,0.38379530916844345,31,9,No IDF,2026-04-27T12:13:58.192103
0.75,0.75,True,False,3,0.24390243902439024,0.9,0.38379530916844345,31,9,AuthorIDF^3,2026-04-27T12:13:58.192103
0.75,0.75,False,True,3,0.2564102564102564,0.9,0.3991130820399113,29,9,TitleIDF^3,2026-04-27T12:13:58.192103
0.75,0.75,True,True,3,0.2564102564102564,0.9,0.3991130820399113,29,9,BothIDF^3,2026-04-27T12:13:58.192103
0.75,0.75,True,True,4,0.2564102564102564,0.9,0.3991130820399113,29,9,BothIDF^4,2026-04-27T12:13:58.192103
0.75,0.8,False,False,3,0.4166666666666667,0.9,0.569620253164557,14,9,No IDF,2026-04-27T12:13:58.192103
0.75,0.8,True,False,3,0.4166666666666667,0.9,0.569620253164557,14,9,AuthorIDF^3,2026-04-27T12:13:58.192103
0.75,0.8,False,True,3,0.43478260869565216,0.9,0.5863192182410424,13,9,TitleIDF^3,2026-04-27T12:13:58.192103
0.75,0.8,True,True,3,0.43478260869565216,0.9,0.5863192182410424,13,9,BothIDF^3,2026-04-27T12:13:58.192103
0.75,0.8,True,True,4,0.43478260869565216,0.9,0.5863192182410424,13,9,BothIDF^4,2026-04-27T12:13:58.192103
0.75,0.85,False,False,3,0.5263157894736842,0.9,0.6642066420664207,9,9,No IDF,2026-04-27T12:13:58.192103
0.75,0.85,True,False,3,0.5263157894736842,0.9,0.6642066420664207,9,9,AuthorIDF^3,2026-04-27T12:13:58.192103
0.75,0.85,False,True,3,0.5555555555555556,0.9,0.6870229007633587,8,9,TitleIDF^3,2026-04-27T12:13:58.192103
0.75,0.85,True,True,3,0.5555555555555556,0.9,0.6870229007633587,8,9,BothIDF^3,2026-04-27T12:13:58.192103
0.75,0.85,True,True,4,0.5555555555555556,0.9,0.6870229007633587,8,9,BothIDF^4,2026-04-27T12:13:58.192103
0.75,0.9,False,False,3,0.5,0.8,0.6153846153846154,8,8,No IDF,2026-04-27T12:13:58.192103
0.75,0.9,True,False,3,0.5,0.8,0.6153846153846154,8,8,AuthorIDF^3,2026-04-27T12:13:58.192103
0.75,0.9,False,True,3,0.5,0.8,0.6153846153846154,8,8,TitleIDF^3,2026-04-27T12:13:58.192103
0.75,0.9,True,True,3,0.5,0.8,0.6153846153846154,8,8,BothIDF^3,2026-04-27T12:13:58.192103
0.75,0.9,True,True,4,0.5,0.8,0.6153846153846154,8,8,BothIDF^4,2026-04-27T12:13:58.192103
0.75,0.95,False,False,3,0.36363636363636365,0.4,0.380952380952381,7,4,No IDF,2026-04-27T12:13:58.192103
0.75,0.95,True,False,3,0.36363636363636365,0.4,0.380952380952381,7,4,AuthorIDF^3,2026-04-27T12:13:58.192103
0.75,0.95,False,True,3,0.36363636363636365,0.4,0.380952380952381,7,4,TitleIDF^3,2026-04-27T12:13:58.192103
