title_threshold,author_threshold,recall,precision,f1,correct,total,false_pos
0.7,0.7,0.9,0.1323529411764706,0.23076923076923075,9,10,59
0.7,0.75,0.9,0.16071428571428573,0.27272727272727276,9,10,47
0.7,0.8,0.9,0.2571428571428571,0.39999999999999997,9,10,26
0.7,0.85,0.9,0.2727272727272727,0.41860465116279066,9,10,24
0.7,0.9,0.9,0.28125,0.4285714285714286,9,10,23
0.75,0.7,0.9,0.21428571428571427,0.3461538461538461,9,10,33
0.75,0.75,0.9,0.2571428571428571,0.39999999999999997,9,10,26
0.75,0.8,0.9,0.5,0.6428571428571429,9,10,9
0.75,0.85,0.9,0.5,0.6428571428571429,9,10,9
0.75,0.9,0.9,0.5,0.6428571428571429,9,10,9
0.8,0.7,0.9,0.36,0.5142857142857143,9,10,16
0.8,0.75,0.9,0.391304347826087,0.5454545454545454,9,10,14
0.8,0.8,0.9,0.5294117647058824,0.6666666666666667,9,10,8
0.8,0.85,0.9,0.5294117647058824,0.6666666666666667,9,10,8
0.8,0.9,0.9,0.5294117647058824,0.6666666666666667,9,10,8
0.85,0.7,0.6,0.46153846153846156,0.5217391304347826,6,10,7
0.85,0.75,0.6,0.5,0.5454545454545454,6,10,6
0.85,0.8,0.6,1.0,0.7499999999999999,6,10,0
0.85,0.85,0.6,1.0,0.7499999999999999,6,10,0
0.85,0.9,0.6,1.0,0.7499999999999999,6,10,0
0.9,0.7,0.4,0.4,0.4000000000000001,4,10,6
0.9,0.75,0.4,0.4444444444444444,0.4210526315789474,4,10,5
0.9,0.8,0.4,1.0,0.5714285714285715,4,10,0
0.9,0.85,0.4,1.0,0.5714285714285715,4,10,0
0.9,0.9,0.4,1.0,0.5714285714285715,4,10,0
