bnf_id,expected_openiti_uri,matched_uris,threshold,best_score,found_correct,num_false_positives,search_time_ms
OAI_11000434,0685NasirDinBaydawi.AnwarTanzil,0214IbnCabdHakamMisri.SiratCumarIbnCabdCaziz|0273AbuUmayyaTarsusi.MusnadCabdAllahIbnCumar|0298HadiIlaHaqqYahya.JawabMasailTabari|0317AbuQasimBaghawi.HadithMuscab|0360AbuBakrAjurri.AkhbarAbiHafs|0385Daraqutni.FawaidMuntaqatDhuhli|0463KhatibBaghdadi.JuzTuruqHadithIbnCumarFiTaraiHilal|0480IbnAhmadHakimHaskani.ShawahidTanzil|0596Nizami.MakhzanAsrar|0643IbnCumarMaqdisi.Juz|0685NasirDinBaydawi.AnwarTanzil|0725AmirKhusraw.MatlacAnwar|0909IbnMabrid.Dabt|1357CallamaIqbal.AsrarKhudi|1378YusufKaram.TabicaWaMaBacdaTabica|1383CabbasMahmudCaqqad.Allah|1450MurtadaCaskari.CabdAllahIbnSaba|1450SuncAllahIbrahim.Dhat,0.7,100.00,True,17,1112.0
OAI_11000434,0685NasirDinBaydawi.AnwarTanzil,0273AbuUmayyaTarsusi.MusnadCabdAllahIbnCumar|0298HadiIlaHaqqYahya.JawabMasailTabari|0360AbuBakrAjurri.AkhbarAbiHafs|0385Daraqutni.FawaidMuntaqatDhuhli|0463KhatibBaghdadi.JuzTuruqHadithIbnCumarFiTaraiHilal|0643IbnCumarMaqdisi.Juz|0909IbnMabrid.Dabt|1378YusufKaram.TabicaWaMaBacdaTabica|1383CabbasMahmudCaqqad.Allah|1450MurtadaCaskari.CabdAllahIbnSaba|1450SuncAllahIbrahim.Dhat,0.75,100.00,False,11,1067.8
OAI_11000434,0685NasirDinBaydawi.AnwarTanzil,0273AbuUmayyaTarsusi.MusnadCabdAllahIbnCumar|0385Daraqutni.FawaidMuntaqatDhuhli|1378YusufKaram.TabicaWaMaBacdaTabica|1383CabbasMahmudCaqqad.Allah|1450MurtadaCaskari.CabdAllahIbnSaba,0.8,100.00,False,5,1071.0
OAI_11000434,0685NasirDinBaydawi.AnwarTanzil,0273AbuUmayyaTarsusi.MusnadCabdAllahIbnCumar|0385Daraqutni.FawaidMuntaqatDhuhli|1378YusufKaram.TabicaWaMaBacdaTabica|1383CabbasMahmudCaqqad.Allah|1450MurtadaCaskari.CabdAllahIbnSaba,0.85,100.00,False,5,1075.9
OAI_11000434,0685NasirDinBaydawi.AnwarTanzil,0385Daraqutni.FawaidMuntaqatDhuhli|1378YusufKaram.TabicaWaMaBacdaTabica|1383CabbasMahmudCaqqad.Allah,0.9,100.00,False,3,1132.9
OAI_10030933,0660IbnCadim.BughyatTalab,0231AbuTamam.Wahshiyyat|0320HakimTirmidhi.Manhiyyat|0377IbnAhmadFarisi.Baghdadiyyat|0381IbnBabawayhSaduq.KamalDin|0471IbnCaliBalkhi.Wakhshiyyat|0515CumarKhayyam.Rubaciyyat|0587AbuMacaliFurawi.Subaciyyat|0600CabdGhaniMaqdisi.Kamal|0617AbuBarakatIbnMulacib.Subaciyyat|0707RashidDinBaghdadi.Subaciyyat|0902Sakhawi.Buldaniyyat|1331JurjiZaydan.AhmadIbnTulun|1359AminRihani.Rayhaniyyat|1377MuhammadCabdAllahDarraz.Din|1434CabdGhaffarMakkawi.Bakaiyyat|1450LutfAllahSafiGulpaygani.MacaKhatib,0.7,100.00,False,16,2480.4
OAI_10030933,0660IbnCadim.BughyatTalab,0320HakimTirmidhi.Manhiyyat|0377IbnAhmadFarisi.Baghdadiyyat|0381IbnBabawayhSaduq.KamalDin|0600CabdGhaniMaqdisi.Kamal|1331JurjiZaydan.AhmadIbnTulun|1377MuhammadCabdAllahDarraz.Din|1434CabdGhaffarMakkawi.Bakaiyyat,0.75,100.00,False,7,2504.7
OAI_10030933,0660IbnCadim.BughyatTalab,0377IbnAhmadFarisi.Baghdadiyyat|0381IbnBabawayhSaduq.KamalDin|0600CabdGhaniMaqdisi.Kamal|1377MuhammadCabdAllahDarraz.Din,0.8,100.00,False,4,2536.4
OAI_10030933,0660IbnCadim.BughyatTalab,0377IbnAhmadFarisi.Baghdadiyyat|0381IbnBabawayhSaduq.KamalDin|0600CabdGhaniMaqdisi.Kamal|1377MuhammadCabdAllahDarraz.Din,0.85,100.00,False,4,2465.5
OAI_10030933,0660IbnCadim.BughyatTalab,0381IbnBabawayhSaduq.KamalDin|0600CabdGhaniMaqdisi.Kamal|1377MuhammadCabdAllahDarraz.Din,0.9,100.00,False,3,2436.4
