bnf_id,expected_uri,threshold,matched_uris,is_correct,num_matches,false_positives,search_time_ms
OAI_10884191,0845Maqrizi.Mawaciz,0.7,0182AbuYusufYacqub.Athar|0281IbnAbiDunya.IctibarWaAcqab|0584IbnMunqidhShayzari.Ictibar|0840MahdiAhmadIbnYahyaHasani.MatnAzhar|0845Maqrizi.Mawaciz|0845Maqrizi.Rasail|0877IbnMiftah.SharhAzhar|1240IbnMuhsinHimi.Tabsira|1299MuhammadCulayshMaliki.FathCali|1331JurjiZaydan.AhmadIbnTulun|1337IbnCabdAllahJundari.TarajimRijalFiSharhAzhar|1346IlyasAyyubi.MuhammadCali|1369MuhammadRida.Muhammad|1375MuhammadHusaynHaykal.HayatMuhammad|1377MuhammadCabdAllahDarraz.Din|1378CabdWahhabCazzam.MuhammadIqbal|1450Milani.NafahatAzhar,True,17,16,798.0
OAI_10884191,0845Maqrizi.Mawaciz,0.75,0182AbuYusufYacqub.Athar|0281IbnAbiDunya.IctibarWaAcqab|0584IbnMunqidhShayzari.Ictibar|0840MahdiAhmadIbnYahyaHasani.MatnAzhar|0845Maqrizi.Mawaciz|0877IbnMiftah.SharhAzhar|1240IbnMuhsinHimi.Tabsira|1331JurjiZaydan.AhmadIbnTulun|1337IbnCabdAllahJundari.TarajimRijalFiSharhAzhar|1369MuhammadRida.Muhammad|1377MuhammadCabdAllahDarraz.Din,True,11,10,807.2
OAI_10884191,0845Maqrizi.Mawaciz,0.8,0182AbuYusufYacqub.Athar|0281IbnAbiDunya.IctibarWaAcqab|0584IbnMunqidhShayzari.Ictibar|0845Maqrizi.Mawaciz|1369MuhammadRida.Muhammad|1377MuhammadCabdAllahDarraz.Din,True,6,5,807.6
OAI_10884191,0845Maqrizi.Mawaciz,0.85,0182AbuYusufYacqub.Athar|0281IbnAbiDunya.IctibarWaAcqab|0584IbnMunqidhShayzari.Ictibar|0845Maqrizi.Mawaciz|1369MuhammadRida.Muhammad|1377MuhammadCabdAllahDarraz.Din,True,6,5,815.9
OAI_10884191,0845Maqrizi.Mawaciz,0.9,0182AbuYusufYacqub.Athar|0281IbnAbiDunya.IctibarWaAcqab|0584IbnMunqidhShayzari.Ictibar|0845Maqrizi.Mawaciz|1369MuhammadRida.Muhammad|1377MuhammadCabdAllahDarraz.Din,True,6,5,822.9
OAI_11000928,0874IbnTaghribirdi,0.7,0274AhmadBarqi.Mahasin|0320IbnMuhammadBayhaqi.Mahasin|0430IbnHaytham.HayatCalam|0751IbnQayyimJawziyya.JawabFiSiyaghHamd|0944IbnDaybac.NashrMahasin|1331JurjiZaydan.HajjajIbnYusuf|1332IbnMuhammadJamalDinQasimi.MahasinTawil|1354RashidRida.Khilafa|1377MuhammadCabdAllahDarraz.Din|1450MuhammadYahyaCizzan.QurashiyyatKhilafa,False,10,10,984.7
OAI_11000928,0874IbnTaghribirdi,0.75,0274AhmadBarqi.Mahasin|0320IbnMuhammadBayhaqi.Mahasin|1354RashidRida.Khilafa|1377MuhammadCabdAllahDarraz.Din,False,4,4,972.3
OAI_11000928,0874IbnTaghribirdi,0.8,0274AhmadBarqi.Mahasin|0320IbnMuhammadBayhaqi.Mahasin|1354RashidRida.Khilafa|1377MuhammadCabdAllahDarraz.Din,False,4,4,985.0
OAI_11000928,0874IbnTaghribirdi,0.85,0274AhmadBarqi.Mahasin|0320IbnMuhammadBayhaqi.Mahasin|1354RashidRida.Khilafa|1377MuhammadCabdAllahDarraz.Din,False,4,4,980.8
OAI_11000928,0874IbnTaghribirdi,0.9,0274AhmadBarqi.Mahasin|0320IbnMuhammadBayhaqi.Mahasin|1354RashidRida.Khilafa|1377MuhammadCabdAllahDarraz.Din,False,4,4,986.2
