uri,record,gallica_url,title_lat,creator_lat,uris_for_record
0346Istakhri.MasalikWaMamalik,OAI_08406155,http://gallica.bnf.fr/ark:/12148/btv1b84061557,['[Al-Masālik wa-al-mamālik. Abū al-Qāsim ibn Ḥawqal.]'],"['Ibn Ḥawqal, Muḥammad ibn ʿAlī al-Naṣībī Abū al-Qāsim (09..-0977)', 'Ṣabbāġ, Mīẖāʾīl ibn Niqūlā ibn Ibrāhīm al-', 'Fārisī, Ibrāhīm ibn Muḥammad Ab�� Isḥāq al- (....-0951). Auteur prétendu du texte']",3
0346Istakhri.MasalikWaMamalik,OAI_10888149,http://gallica.bnf.fr/ark:/12148/btv1b108881495,['[Al-Masālik wa-al-mamālik. Abū al-Qāsim ibn Ḥawqal.]'],"['Ibn Ḥawqal, Muḥammad ibn ʿAlī al-Naṣībī Abū al-Qāsim (09..-0977)', 'Ṣabbāġ, Mīẖāʾīl ibn Niqūlā ibn Ibrāhīm al-', 'Fārisī, Ibrāhīm ibn Muḥammad Ab�� Isḥāq al- (....-0951). Auteur prétendu du texte']",3
0367IbnHawqal.SuratArd,OAI_08406155,http://gallica.bnf.fr/ark:/12148/btv1b84061557,['[Al-Masālik wa-al-mamālik. Abū al-Qāsim ibn Ḥawqal.]'],"['Ibn Ḥawqal, Muḥammad ibn ʿAlī al-Naṣībī Abū al-Qāsim (09..-0977)', 'Ṣabbāġ, Mīẖāʾīl ibn Niqūlā ibn Ibrāhīm al-', 'Fārisī, Ibrāhīm ibn Muḥammad Ab�� Isḥāq al- (....-0951). Auteur prétendu du texte']",3
0367IbnHawqal.SuratArd,OAI_10888149,http://gallica.bnf.fr/ark:/12148/btv1b108881495,['[Al-Masālik wa-al-mamālik. Abū al-Qāsim ibn Ḥawqal.]'],"['Ibn Ḥawqal, Muḥammad ibn ʿAlī al-Naṣībī Abū al-Qāsim (09..-0977)', 'Ṣabbāġ, Mīẖāʾīl ibn Niqūlā ibn Ibrāhīm al-', 'Fārisī, Ibrāhīm ibn Muḥammad Ab�� Isḥāq al- (....-0951). Auteur prétendu du texte']",3
0300IbnKhurdadhbih.MasalikWaMamalik,OAI_08406155,http://gallica.bnf.fr/ark:/12148/btv1b84061557,['[Al-Masālik wa-al-mamālik. Abū al-Qāsim ibn Ḥawqal.]'],"['Ibn Ḥawqal, Muḥammad ibn ʿAlī al-Naṣībī Abū al-Qāsim (09..-0977)', 'Ṣabbāġ, Mīẖāʾīl ibn Niqūlā ibn Ibrāhīm al-', 'Fārisī, Ibrāhīm ibn Muḥammad Ab�� Isḥāq al- (....-0951). Auteur prétendu du texte']",3
0300IbnKhurdadhbih.MasalikWaMamalik,OAI_10888149,http://gallica.bnf.fr/ark:/12148/btv1b108881495,['[Al-Masālik wa-al-mamālik. Abū al-Qāsim ibn Ḥawqal.]'],"['Ibn Ḥawqal, Muḥammad ibn ʿAlī al-Naṣībī Abū al-Qāsim (09..-0977)', 'Ṣabbāġ, Mīẖāʾīl ibn Niqūlā ibn Ibrāhīm al-', 'Fārisī, Ibrāhīm ibn Muḥammad Ab�� Isḥāq al- (....-0951). Auteur prétendu du texte']",3
0300IbnKhurdadhbih.MasalikWaMamalik,OAI_11001744,http://gallica.bnf.fr/ark:/12148/btv1b11001744b,[],['ʿABDALLAH ibn ʿAbdallah Ibn Ḫordāḏbeh'],1
0303Nasai.Jumca,OAI_08406156,http://gallica.bnf.fr/ark:/12148/btv1b8406156n,['Faṣl al-kayfiyya ou Faṣl fī kayfiyyat al-ṣalāt ʿalā [awrād ayyām al-usbūʿ]'],[],1
0440AbuRayhanBiruni.QanunMascudi,OAI_08406157,http://gallica.bnf.fr/ark:/12148/btv1b84061572,"[""Abū Rayḥān Muḥammad ibn Aḥmad al-Bīrūnī , al-Qānūn al-Masʿūdī fī al-hay'a wa-al-nuğūm""]","['Bīrūnī, Muḥammad ibn Aḥmad Abū al-Rayḥān al-']",1
0440AbuRayhanBiruni.QanunMascudi,OAI_10031067,http://gallica.bnf.fr/ark:/12148/btv1b10031067j,"[""Abū Rayḥān Muḥammad ibn Aḥmad al-Bīrūnī , al-Qānūn al-Masʿūdī fī al-hay'a wa-al-nuğūm""]","['Bīrūnī, Muḥammad ibn Aḥmad Abū al-Rayḥān al-']",1
0440AbuRayhanBiruni.QanunMascudi,OAI_10884762,http://gallica.bnf.fr/ark:/12148/btv1b10884762r,"[""Abū Rayḥān Muḥammad ibn Aḥmad al-Bīrūnī , al-Qānūn al-Masʿūdī fī al-hay'a wa-al-nuğūm""]","['Bīrūnī, Muḥammad ibn Aḥmad Abū al-Rayḥān al-']",1
0682ZakariyaQazwini.CajaibMakhluqat,OAI_08406160,http://gallica.bnf.fr/ark:/12148/btv1b8406160j,"[""Kitāb 'ağā'ib al-maḫlūqāt wa ġarā'ib al-mawğūdāt. Zakariyyā ibn Muḥammad ibn Maḥmūd al-Qazwīnī""]","['Qazwīnī, Zakariyyā ibn Muḥammad ibn Maḥmūd al-', 'ZAKARĪYĀ ibn Muḥammad ibn Maḥmūd al-Qazwīnī']",1
0682ZakariyaQazwini.CajaibMakhluqat,OAI_10884218,http://gallica.bnf.fr/ark:/12148/btv1b10884218g,[],['ZAKARĪYĀ ibn Muḥammad ibn Maḥmūd al-Qazwīnī'],1
0682ZakariyaQazwini.CajaibMakhluqat,OAI_10892327,http://gallica.bnf.fr/ark:/12148/btv1b10892327f,"[""Kitāb 'ağā'ib al-maḫlūqāt wa ġarā'ib al-mawğūdāt. Zakariyyā ibn Muḥammad ibn Maḥmūd al-Qazwīnī""]","['Qazwīnī, Zakariyyā ibn Muḥammad ibn Maḥmūd al-', 'ZAKARĪYĀ ibn Muḥammad ibn Maḥmūd al-Qazwīnī']",1
0682ZakariyaQazwini.CajaibMakhluqat,OAI_11002165,http://gallica.bnf.fr/ark:/12148/btv1b11002165p,[],['ZAKARĪYĀ ibn Muḥammad ibn Maḥmūd al-Qazwīnī'],1
0682ZakariyaQazwini.CajaibMakhluqat,OAI_11002170,http://gallica.bnf.fr/ark:/12148/btv1b11002170v,[],['ZAKARĪYĀ ibn Muḥammad ibn Maḥmūd al-Qazwīnī'],1
0682ZakariyaQazwini.CajaibMakhluqat,OAI_11002171,http://gallica.bnf.fr/ark:/12148/btv1b110021719,[],['ZAKARĪYĀ ibn Muḥammad ibn Maḥmūd al-Qazwīnī'],1
0682ZakariyaQazwini.CajaibMakhluqat,OAI_11002172,http://gallica.bnf.fr/ark:/12148/btv1b11002172r,[],['ZAKARĪYĀ ibn Muḥammad ibn Maḥmūd al-Qazwīnī'],1
0682ZakariyaQazwini.CajaibMakhluqat,OAI_11002173,http://gallica.bnf.fr/ark:/12148/btv1b110021736,[],['ZAKARĪYĀ ibn Muḥammad ibn Maḥmūd al-Qazwīnī'],1
0682ZakariyaQazwini.CajaibMakhluqat,OAI_11002175,http://gallica.bnf.fr/ark:/12148/btv1b110021753,[],['ZAKARĪYĀ ibn Muḥammad ibn Maḥmūd al-Qazwīnī'],1
0682ZakariyaQazwini.CajaibMakhluqat,OAI_11002758,http://gallica.bnf.fr/ark:/12148/btv1b11002758w,[],['ZAKARĪYĀ ibn Muḥammad ibn Maḥmūd al-Qazwīnī'],1
0682ZakariyaQazwini.CajaibMakhluqat,OAI_11002759,http://gallica.bnf.fr/ark:/12148/btv1b11002759b,[],['ZAKARĪYĀ ibn Muḥammad ibn Maḥmūd al-Qazwīnī'],1
0682ZakariyaQazwini.CajaibMakhluqat,OAI_11002760,http://gallica.bnf.fr/ark:/12148/btv1b11002760q,[],['ZAKARĪYĀ ibn Muḥammad ibn Maḥmūd al-Qazwīnī'],1
