BNF OAI_11000434 candidates:
Latin count: 2
Arabic count: 0
  MATCH 0117DhuRumma.Diwan (lat): score=12
  MATCH 0117IbnDicamaSadusi.NasikhWaMansukh (lat): score=29
  MATCH 0117IbnDicamaSadusi.NasikhWaMansukh (lat): score=32
  MATCH 0122ZaydIbnCali.MajmucRasail (lat): score=23
  MATCH 0122ZaydIbnCali.MajmucRasail (lat): score=28
  MATCH 0122ZaydIbnCali.MansikHajj (lat): score=24
  MATCH 0122ZaydIbnCali.MansikHajj (lat): score=21
  MATCH 0122ZaydIbnCali.Musnad (lat): score=16
  MATCH 0122ZaydIbnCali.Musnad (lat): score=12
  MATCH 0122ZaydIbnCali.TafsirGharibQuran (lat): score=36
  MATCH 0122ZaydIbnCali.TafsirGharibQuran (lat): score=31
  MATCH 0124IbnShihabZuhri.TanzilQuran (lat): score=19
  MATCH 0124IbnShihabZuhri.TanzilQuran (lat): score=32
  MATCH 0125NabighaShaybani.Diwan (lat): score=11
  MATCH 0125NabighaShaybani.Diwan (lat): score=12
  MATCH 0125Tirimmah.Diwan (lat): score=11
  MATCH 0125Tirimmah.Diwan (lat): score=12
  MATCH 0126KumaytIbnZaydAsadi.Rawda (lat): score=22
  MATCH 0126KumaytIbnZaydAsadi.Rawda (lat): score=16
  MATCH 0128IbnAbiHabibMisri.AhadithYazid (lat): score=32
  MATCH 0128IbnAbiHabibMisri.AhadithYazid (lat): score=24
  MATCH 0130CurwaIbnUdhayna.Diwan (lat): score=11
  MATCH 0130CurwaIbnUdhayna.Diwan (lat): score=12
  MATCH 0130IbnBashirKhariji.Diwan (lat): score=11
  MATCH 0130IbnBashirKhariji.Diwan (lat): score=12
  MATCH 0131ZubayrHamdani.NuskhatZubayr (lat): score=27
  MATCH 0131ZubayrHamdani.NuskhatZubayr (lat): score=20
  MATCH 0132HammamIbnMunabbih.Sahifa (lat): score=22
  MATCH 0132HammamIbnMunabbih.Sahifa (lat): score=16
  MATCH 0139IbnMuqaffac.AdabKabir (lat): score=40
  MATCH 0139IbnMuqaffac.AdabKabir (lat): score=31
  MATCH 0139IbnMuqaffac.DurraYatima (lat): score=28
  MATCH 0139IbnMuqaffac.DurraYatima (lat): score=25
  MATCH 0139IbnMuqaffac.KalilaWaDimna (lat): score=33
  MATCH 0139IbnMuqaffac.KalilaWaDimna (lat): score=32
  MATCH 0141MusaIbnCuqba.AhadithMinMaghazi (lat): score=32
  MATCH 0141MusaIbnCuqba.AhadithMinMaghazi (lat): score=28
  MATCH 0145MufaddalIbnCumarJucfi.Tawhid (lat): score=22
  MATCH 0145MufaddalIbnCumarJucfi.Tawhid (lat): score=16
  MATCH 0146MujacaIbnZubayr.MinHadith (lat): score=24
  MATCH 0146MujacaIbnZubayr.MinHadith (lat): score=18
  MATCH 0148AbuHamzaThumali.Tafsir (lat): score=16
  MATCH 0148AbuHamzaThumali.Tafsir (lat): score=12
